1,2,3
588,"Манометр электроконтактный ДМ2005Ф 0-1 МПа кт. 1,5 ф=160мм с радиальны",7.0
558,"Муфта PP-R переходная сер ВР Дн 25х1/2""(100/25) VALFEX",9.0
548,Муфта PP-R переходная сер НР 32х1 (60/15) VALFEX,9.0
557,"Муфта PP-R переходная сер НР Дн 25х1/2""(100/25) VALFEX",9.0
547,Муфта PP-R разъемная сер ВР 32х1 (80/20) VALFEX,9.0
621,"Муфта PP-R разъемная сер ВР 32х1 1/4"" (60/15) VALFEX",9.0
555,Муфта PP-R сер Дн 25 (300/75) VALFEX,9.0
278,"Муфта быстросъемная 1/2""(5/8) Startul garden",9.0
279,"Муфта быстросъемная 1/2""(5/8) с автостоп Startul garden",9.0
73,Муфта быстросъемная 3/4 Startul garden,9.0
280,Муфта быстросъемная 3/4 с автостоп Startul garden,9.0
454,"Муфта вн-вн 1"" LD",9.0
402,Муфта вн-вн 1/2 General Fittings,9.0
87,Муфта вн-вн 1/2 Цветлит,9.0
422,"Муфта вн-вн 1/2"" LD",9.0
516,"Муфта вн-вн 1/2"" ХРОМ AV Engineening",9.0
490,Муфта вн-вн 3/4 LD,9.0
651,Муфта вн-вн 3/4 VALFEX,9.0
673,Муфта вн-вн 3/4 лат.никелир.VF,9.0
88,Муфта вн-вн 3/4 Цветлит,9.0
374,"Муфта вн.-вн. 1"", Цветлит",9.0
710,Муфта вставная (восстановитель раструба) HTSM 110/110,9.0
712,Муфта двухраструбная 110 ремонтная вн.кан (60) VALFEX,10.0
391,Муфта для внутренней канализации ф100 РосТурПласт,10.0
361,Муфта для внутренней канализации ф50 РосТурПласт,10.0
308,Муфта для ПЭ-труб 20,9.0
61,Муфта для ПЭ-труб 25,9.0
62,Муфта для ПЭ-труб 32,9.0
520,Муфта для ПЭ-труб 40,9.0
309,Муфта для Пэ-труб вн. 20х1/2,9.0
63,Муфта для ПЭ-труб вн. 20х3/4,9.0
64,Муфта для ПЭ-труб вн. 25х1,9.0
65,Муфта для ПЭ-труб вн. 25х3/4,9.0
196,Муфта для ПЭ-труб вн. 32х1,9.0
352,Муфта для ПЭ-труб вн. 32х1 1/4,9.0
89,Муфта для ПЭ-труб вн. 32х3/4,9.0
205,Муфта для ПЭ-труб Ду 50х2 Unidelta,9.0
206,Муфта для ПЭ-труб Ду 63х2 Unidelta,9.0
310,Муфта для ПЭ-труб ред. 25х20,9.0
311,Муфта для ПЭ-труб ред. 32х20,9.0
312,Муфта для ПЭ-труб ред. 32х25,9.0
301,Муфта компрессионная 63х2,9.0
398,"Муфта М/П ник. с ВР 16х1/2""",9.0
121,Муфта М/П ник. с НР 16х1/2,9.0
379,"Муфта М/П ник.16(2,0)",9.0
302,Муфта переходная 63х32,9.0
637,"Муфта ПНД компр.соединительная с ВР 32х1""(90/15) VALFEX",9.0
